PAMID,CountryCode,Country,PAM No,Name,Objective,Description,Type of instrument,Primary EU policy responsible objectives,Secondary EU policy responsible objectives,Tertiary EU policy responsible objectives,Related EU policies,Affected GHG,Link to EU Emissions Trading Scheme ETS,Targeted sectors,Status,Start year,End year,Comment on implementation period,Type of implementing entities,Name of implementing entities,Projection scenario in which the PAM is included,Inclusion of estimate in projections,Indicators to monitor and evaluate implementation,2015 total kt CO2 equivalent per year:number,2015 EU ETS kt CO2:number,2015 non ETS kt CO2:number,2020 total kt CO2:number,2020 EU ETS kt CO2:number,2020 non ETS kt CO2:number,2025 total kt CO2:number,2030 total kt CO2:number,Average emission reduction kt CO2,Impact included in another policy or policy package,Other policy or policy package in which the impact is included,Reference source of estimation ,Years for which the reduction applies,Basis for estimate,Factors affected by PAM,Inclusion of savings related to EU policies,Costs in EUR per tonne CO2 equivalent reduced sequestered,Absolute costs per year in EUR,Description _ basis for cost estimate,Documentation _ source of cost estimate,Interaction with other policies and measures at the national or EU level,Details on policy interactions,Non GHG_mitigation benefits,Additional comment,Name or organisation providing information on policy,Check of mandatory reporting,Comments by MS
BE-COM-001,BE,Belgium,EC-C01,Third party financing in the public sector,Promote energy savings in public buildings (federal level),"Using a third party investor fund in the public sector
",Economic,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,non EU ETS,"Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,National government,FEDESCO (Federal Energy Services Company) : a limited company under private law.,with existing measures (WEM),,Activity of FEDESCO and annual reports,115.5,,115.5,132,,132,,,19.8,,,"Projections by 3d Party Financing organisation 
See www.climat.be/IMG/pdf/120317_draft_final_report.pdf  - data from FEDESCO",2009,Data from 3d party financer (Fedesco),Energy efficiency of public buildings,,,,,,No,,No further comment,"Methodology (Federal State) FEDESCI is the 3rd party financing company designated to improve federal buildings. Data - from FEDESCO reports. Projections - from FEDESCO objectives. Coverage - Federal buildings mostly located in Brussels capital region. 
",,OK,
BE-COM-002,BE,Belgium,EC-C02,Energy and environmental performance and indoor climatic  requirements in buildings of the services and community sectors,Transpose the energy performance of buildings directive for the tertiary sector,"Imposition of energy requirements (including indoor) to tertiary buildings (Energy Performance Decree standard)
Brussels Capital Region: The Government's decree of 21 december 2007 regarding EPB stipulates that new buildings has to be passive and heavy renovated ones very low energy starting in 2015
","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,CO2,non EU ETS,"Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: VEA / Wallonia : DGO4 Energie / Brussels: IBGE,with existing measures (WEM),,Statistics on certificates and on new buildings and average energy performance of new buildings in the tertiary sector,58,,58,172.335,,172.335,,,,,,,2009,only partial data available,Energy efficiency of buildings in the tertiary sector,,,,,,yes,See EC-A03,No further comment,"Methodology (Wallonia): Data - programme UREBA, number of aids per type and associated energy savings. Method - data prepared by university. Mons - Hainaut. Projections - Identical number of requests per year. Coverage - Wallonia region. 
Implementation in the Flemish Region:These requirements will be incrementally strengthened.",,OK,
BE-COM-003,BE,Belgium,EC-C02bis,Energy performance and certificate of buildings (residential)  - WAM,Improve the energy efficiency of buildings (by transposition of the EC directive on energy performance of buildings and establishment of the methodology to be used to evaluate the performance of buildings),"Additional steps in the energy performance of buildings (partim tertiary sector): 
Flanders : stricter requirements
Wallonia : completing application schedule up to 2020","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,CO2,non EU ETS,"Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2004,,,Regional entities,Flanders: VEA / Wallonia : DGO4 Energie / Brussels: IBGE,with additional measures (WAM),,Statistics on certificates and on new buildings and average energy performance of new buildings in the tertiary sector,47,,47,94,,94,,,,,,,2009,only partial data available,Energy efficiency of buildings in the tertiary sector,,,,,,yes,See EC-A03,No further comment,"Methodology (Wallonia): Data - programme UREBA, number of aids per type and associated energy savings. Method - data prepared by university. Mons - Hainaut. Projections - Identical number of requests per year. Coverage - Wallonia region. 
Implementation in the Flemish Region:These requirements will be incrementally strengthened.
",,OK,
BE-COM-004,BE,Belgium,EC-C03,"Specific energy efficiency measures in the medical, social and education sectors",Provide incentives to local authorities and associated institutions to improve the energy efficiency of their building stocks,"Subsidies (up to 30% of total investment) to promote RUE  in hospitals, retirement houses, social infrastructures and schools + test cases and demonstration projects
",Economic,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,non EU ETS,"Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",adopted,2004,,,Regional entities,"Flanders: VIPA, VMSW, AGIOn, GO! / Wallonia : DGO4 Energie / Brussels: IBGE",with existing measures (WEM),,"Programme UREBA in public and similar buildings in Wallonia. Evaluations realised by the University of Mons-Hainaut
Flemish Region: number of projects receiving subsidies (i.e. they meet stricter conditions than legally obliged)",65.104,,65.104,90.143,,90.143,,,35.056,,,Data on financial support to initiatives in sectors,2009,only partial data is available,"Energy efficiency of buildings in the medical, social and education sectors",,,,,,yes,"Flemish Region: interaction with EC-C02 (subsidies are linked with minimum energy performance).
Walloon Region : impact is additional to EC-CO2, data presented here concerns statistics of financial supports for RUE by the Region to those sectors, assimilated to the public sector","Sox, NOx and PM emissions reduced","Implementation by the Walloon Region : 
Walloon Governmental decision April 10, 2003 (UREBA)
Implementation in the Flemish Region
EPB-requirements in order to be eligible for project financing. Specific energy performance programs.",,OK,
BE-ENU-003,BE,Belgium,EC-C04,Energy and environmental performance and indoor climatic  requirements in industrial buildings,Transposition of the Directive on the energy performance of buildings to the industrial sector,"Imposition of energy requirements (including indoor) to industrial buildings (Energy Performance Decree standard)
","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC); Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,CO2,non EU ETS,"Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Brussels: IBGE / Wallonia : DGO4 Energie / Flanders: VEA,with existing measures (WEM),,Official publication of decisions / average energy performance of new industrial buildings,,,,,,,,,,,,,2009,,Energy efficiency of a certain number of buildings in the industrial sector,,,,,,No,,No further comment,"Implementation Flemish Region: These requirements will be incrementally strengthened.
",,OK,
BE-COM-005,BE,Belgium,EC-C05,Financial support for sustainable energy policies in sheltered and social workshops ,RUE in sheltered and social workshops,Specific financial mechanisms to protect low income populations,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: WSE,with existing measures (WEM),,Number and type of subsidies issues,,,,,,,,,,Yes,EC-B01,,2009,,Energy efficiency of low income population,,,,,,yes,Interaction with EC-B01,"Sox, NOx and PM emissions reduced",,,OK,
BE-ENU-004,BE,Belgium,IP-A01,Implementation of the ETS in the industrial sector,Reduce emissions from the industry sector involved in ETS,"Belgian National Allocation Plan 2008-2012
European system on scope 2013-2020
","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,,,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,CO2,EU ETS,"Energy use -Industry / Construction, Energy supply, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: LNE / Wallonia : AwAC / Brussels: IBGE,with existing measures (WEM),,Annual declaration of companies on their GHG emissions (t eq CO2),,,,,,,,,,Yes,IP-A02,,2009,"Rules followed for the allocation to industries are based on their commitment taken in the framework of benchmark or long term agreements. Impact estimates are therefore made under IP-A01, whose scope is broader than ETS",GHG emissions from industries,,,,,,yes,"Interaction with EP-B01 (allocation plan for the electricity sector)
Flemish and Walloon Regions: interaction with IP-A02 (benchmarking covenants and Long term agreements) and (for Flanders) with EP-B02 and IP-A03 (energy plans)",Impact on air pollutants depends on situations. ,,,OK,
BE-ENU-005,BE,Belgium,IP-A02,Long Term Energy/CO2 efficiency Agreements in the industrial sector,"Improve energy efficiency in industries, by raising profitability criteria for RUE investments from a BAU 2 years of payback time to an IRR of 12,5% through an agreement (Flanders)","Benchmarking and voluntary agreements through contracts signed with public authorities. Enterprises (directly or through their professional association) take a voluntary commitment to improve their energy efficiency within a certain time horizon. Targets are quantified by benchmarking (within 10% of the best performer) or by energy audit, considering all RUE investments which have  an IRR of 12,5%. 
Considered separately from Wallonia because it is  considered in projections  the WEM scenario
","Voluntary/ negotiated agreement, Fiscal, Economic",Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC; Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,"Regional entities, Companies / businesses / industrial associations",Flanders : VEA / Wallonia : DGO4 Energie / Brussels: IBGE/ Industrial associations,with existing measures (WEM),,"Energy efficiency and CO2 efficiency indicators annually published. They measure per company, per sector and for the whole industry the energy consumed (CO2 emitted) compared to a baseline situation ""without measures"".",856,693.36,162.64,1800,1458,342,,,2119,,,Impacts of measures are cumulative. Emission saving figures are estimated from annual reports of relevant regional policies  and expected projections (meeting efficiency objectives),2009,"Energy efficiency and CO2 indices annually published. They evaluate energy savings and avoided CO2 emissions with respect to a ""without measures"" baseline. Here, we estimate BAU energy efficiency improvements  (and corresponding CO2 reductions) due to technical progress and natural replacement of equipment as 0,5% per year, which is approximately half of what the policies generate. We therefore compute here 50% of savings reported. 
Projections established assuming a similar energy efficiency improvement is obtained up to 2020 ",Energy efficiency of the industry sector,,,,,,yes,"Interacts with IP-A01 (ETS). 
Double counting with EP-A02 for RES and CHP in industry. 
Electricity savings taken into consideration here affect the emissions of electricity power plans (for that aspect, it is thus complementary to EP-A01)","Sox, NOx and PM emissions reduced","Methodology (Wallonia): Data - energy efficiency and CO2 emissions indicators. Method: Indicators compare effective energy consumption/CO2 emissions with an identical production situation in a baseline (without measures) situation. Correction - BAU savings are benefitting to the industrial indicators. Subtraction of BAU savings from total savings, assuming efficiency naturally improves by 0.5%/year. Projections - a similar improvement of both indicators is assumed up to 2020. Coverage - Wallonia. 
Methodology (Flanders): Data - audit convenants yearly report: Coverage - Flanders. 

Implementation Walloon Region: 
Energy/CO2 efficiency improvement long term agreements  with most industrial sectors up to 2012
Implementation in the Flemish Region : 
Benchmarking agreements with major energy intensive industries and ""Audit Covenants"" with medium size industries until 2012 and 2013, afterwards a new 'Energy policy agreement' for companies with an yearly primary enrgy use of at least 0,1PJ until 2020 ",,OK,
BE-ENU-006,BE,Belgium,IP-A02 bis,Long Term Energy/CO2 efficiency Agreements in the industrial sector (WAM),"Improve energy efficiency in industries, by raising profitability criteria for RUE investments from a BAU 2 years of payback time to 5 years within an agreement (Wallonia)","Voluntary agreements through contracts signed with public authorities. Enterprises (directly or through their professional association) take a voluntary commitment to improve their energy efficiency within a certain time horizon. Targets are quantified  by energy audit, considering all RUE investments which have a payback time under 5 years
Considered separately from Flanders because it is not considered in projections  the WEM scenario
","Voluntary/ negotiated agreement, Fiscal, Economic",Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC; Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2004,,,"Regional entities, Companies / businesses / industrial associations",Flanders : VEA / Wallonia : DGO4 Energie / Brussels: IBGE/ Industrial associations,with additional measures (WAM),,"Energy efficiency and CO2 efficiency indicators annually published. They measure per company, per sector and for the whole industry the energy consumed (CO2 emitted) compared to a baseline situation ""without measures"".",1248.954,999.1632,249.7908,1707.571,1366.0568,341.5142,,,2119,,,Impacts of measures are cumulative. Emission saving figures are estimated from annual reports of relevant regional policies  and expected projections (meeting efficiency objectives),2009,"Energy efficiency and CO2 indices annually published. They evaluate energy savings and avoided CO2 emissions with respect to a ""without measures"" baseline. Here, we estimate BAU energy efficiency improvements  (and corresponding CO2 reductions) due to technical progress and natural replacement of equipment as 0,5% per year, which is approximately half of what the policies generate. We therefore compute here 50% of savings reported. 
Projections established assuming a similar energy efficiency improvement is obtained up to 2020 ",Energy efficiency of the industry sector,,,,,,yes,"Interacts with IP-A01 (ETS). 
Double counting with EP-A02 for RES and CHP in industry. 
Electricity savings taken into consideration here affect the emissions of electricity power plans (for that aspect, it is thus complementary to EP-A01)","Sox, NOx and PM emissions reduced","Methodology (Wallonia): Data - energy efficiency and CO2 emissions indicators. Method: Indicators compare effective energy consumption/CO2 emissions with an identical production situation in a baseline (without measures) situation. Correction - BAU savings are benefitting to the industrial indicators. Subtraction of BAU savings from total savings, assuming efficiency naturally improves by 0.5%/year. Projections - a similar improvement of both indicators is assumed up to 2020. Coverage - Wallonia. 

Methodology (Flanders): Data - audit convenants yearly report:  Coverage - Flanders. 

Implementation Walloon Region: 
Energy/CO2 efficiency improvement long term agreements  with most industrial sectors up to 2012
Implementation in the Flemish Region : 
Benchmarking agreements with major energy intensive industries and ""Audit Covenants"" with medium size industries until 2012 and 2013, afterwards a new 'Energy policy agreement' for companies with an yearly primary enrgy use of at least 0,1PJ until 2020 ",,OK,
BE-ENU-007,BE,Belgium,IP-A03,Energy planning in industries,Increase energy and CO2 awareness in industries,Compulsory drafting of energy plans by industries in Flanders. Commitments issued from voluntary agreements (see EC-C02) are accepted as energy plans.,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders : VEA,with existing measures (WEM),,Flemish Region: energy savings included in schemes and studies (GWh),128,64,64,351,175.5,175.5,,,,,Impact included in IP-A02,,2009,,Energy efficiency expertise in industry,,,,,,yes,Interaction with IP-A02,No further comment,,,OK,
BE-ENU-008,BE,Belgium,IP-A04,"Reference Centres and industrial ""clusters""",Create synergies and creativity among complementing industries in specific markets,"Create clustered structures to induce synergies among enterprises involved in energy technologies
","Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: VEA / Wallonia : DGO6 Economy / Brussels: IBGE,with existing measures (WEM),,Monitoring whether necessary actions are taken in order to establish the relevant structures or institutions,,,,,,,,,,,,,2009,,R&D expertise. Synergies between local industries should also generate new green jobs ,,,,,,No,,No further comment,,,OK,
BE-ENU-009,BE,Belgium,IP-A05,Promoting sustainable industrial estates,Attract industries in specific activity zones where they can benefit from energy system integration and/or intermodal infrastructure for transport,"Promoting sustainable industrial sites which encourage transport modal shifts, promote energy integration networks (connecting energy demand and energy production processes) and produce heat and electricity as by-products, which are then distributed within industries.
",Economic,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Wallonia : DGO6 Economy,with existing measures (WEM),,"Number of zones, number and type of industries settled in the zones",,,,,,,,,,,,,2009,,Energy integration actions are expected,,,,,,No,,No further comment,,,OK,
BE-ENU-010,BE,Belgium,IP-A06,Specific financial measures and ecology premiums for industry,Financial supports to RUE investments in industries,"Specific financial measures and ecology premiums: tax deduction and subsidies for energy saving investments in industry
",Economic,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply",implemented,2004,,,"National government, Regional entities",FED : Finance FPS / Brussels: AEE / Wallonia : DGO4 Energie & DGO6 Economie / Flanders: AO,with existing measures (WEM),,Number of subsidies distributed per type. ,9,4.5,4.5,17,8.5,8.5,,,,,Impact included in IP-A02,www.climat.be/IMG/pdf/120317_draft_final_report.pdf ,2009,,Energy efficiency from the industry sector,,,,,,yes,"Flemish Region:IP-A06 (ecology subsidy) is linked with IP-A02 (benchmarking covenant)
Both Wallonia and Flanders : impacts of measure are not considered here as they interact with IP-A02. ",No further comment,"Methodology (Federal State): Data - tax deductions for enterprises investing in energy saving equipment. Coverage - whole industry. Double counting - with IP-AP01 or  IP-AO2.
",,OK,
BE-IND-001,BE,Belgium,IP-B01,HFC and PFC emissions reduction targets,Reduction of F-gas emissions,"Reducing the use of fluorinated greenhouse gases (HFCs and PFCs) through training certified personnel in handling the gas when installing and maintaining refrigeration systems
","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Industrial Process: F-gas regulation (Regulation 842/2006),Industrial Process: HFCs in mobile air conditioning Directive 2006/40/EC,,Industrial Process: F-gas regulation (Regulation 842/2006); Industrial Process: HFCs in mobile air conditioning Directive 2006/40/EC,HFC,"EU ETS, non EU ETS","Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,"National government, Regional entities","FED : Mobility and Transport FPS / Health, Food Chain Safety and Environment FPS - DG Environment / Flanders: LNE / Brussels: IBGE / Wallonia : AwAC",with existing measures (WEM),,Number of training sessions organized,,,,,,,,,,,,,2009,,HFC and PFC emission levels,,,,,,No,,No further comment,,,OK,
BE-IND-002,BE,Belgium,IP-B02,SF6 emissions reductions,Reducing SF6-emissions from high-voltage switches,"Reduce SF6-emissions through compulsory certification of personnel involved in the recovery, collection, recycling, regeneration and destruction of SF6 from high-voltage switches","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Industrial Process: F-gas regulation (Regulation 842/2006),,,Industrial Process: F-gas regulation (Regulation 842/2006),SF6,non EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: LNE,with existing measures (WEM),,Number of certified personnel,,,,,,,,,,,,,2009,,Fugitive SF6 emission levels,,,,,,No,,No further comment,,,OK,"Theproposed list  of EU policies does not propose any specific policy aiming at propoting modal shifts from individual cars to car sharing, cycles or public transports . We therefore refered such measures as ""Non CCPM National Policy"""
BE-IND-003,BE,Belgium,IP-C01,Specific emission reduction agreement with nitric acid producers,"Reduce N2O emissions from nitric acid production
","Covenants to reduce N20 emissions from nitric acid production. 
Required actions are concluded. Emission reductions are effective ","Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,,National policy not related to EU policies; Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,N2O,EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: LNE / Wallonia : AwAC / Brussels: IBGE,with existing measures (WEM),,Emissions by nitric acid producers (t eq CO2),3361.211,3361.211,,3361.211,3361.211,,,,2705,,,data from industries,2009,Data from producers,Reduce emissions from the industrial sector,,,,,,No,,Likely process NOx emissions reduce,Methodology (Wallonia): Data from producer. Coverage - Wallonia. Methodology (Flanders): Data from producer. Coverage - Flanders.,,OK,"Theproposed list  of EU policies does not propose any specific policy aiming at propoting modal shifts from individual cars to car sharing, cycles or public transports . We therefore refered such measures as ""Non CCPM National Policy"""
BE-IND-004,BE,Belgium,IP-C02,Specific emission reduction agreement with caprolactam producers,"Flemish Region:
A reduction of N2O emissions from the production of caprolactam ","The N2O emissions are generated by a caprolactam production site located in the Flemish Region. The Flemish Government is conducting a study in cooperation with this company to identify additional cost efficient measures on the site. On the basis of the results of this study, a decision will be made between several policy options to ensure the identified measures are carried out.","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,,National policy not related to EU policies; Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,N2O,EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Regional entities,Flanders: LNE,with existing measures (WEM),,Emissions from caprolactam producers (t eq CO2),,,,,,,,,,,,,2009,,Reduced emissions from the industrial sector,,,,,,No,,No further comment,,,OK,"Theproposed list  of EU policies does not propose any specific policy aiming at propoting modal shifts from individual cars to car sharing, cycles or public transports . We therefore refered such measures as ""Non CCPM National Policy"""
BE-TRA-001,BE,Belgium,TR-A01,Mobility plans at local level,Improve alternatives transport modes for the journey to work ,"Federal state: Survey ""Journey to work"" for companies with 100 people or more (legal obligation). The publication of the results encourages companies to realize an Action Plan for the transport of their employees.  A study is planned to return the survey results more efficiency towards firms.
Brussels : Improve mobility plans at local level (schools, enterprises and businesses) by promoting car-sharing and alternatives transport modes.","Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,"National government, Regional entities","FED : Mobility and Transport FPS / Brussels: IBGE, AED, communes / Wallonia : DG02 Mobilité",with existing measures (WEM),,"Evaluation of mobility policies at all levels, incl public transport companies annual reports
Flemish Region: number of local governments that entered the cooperation agreement with the Flemish Government",14.2,,14.2,15,,15,,,,,,Projections built upon objectives and past experiences,2009,,"Change of behaviour, optimization of transport means used by workers, adaption of enterprises facilities to encourage public transports or low carbon alternatives",,,,,,yes,Interacts with TR-A02,"NOx, VOC and PM emissions reduced","Methodology (Brussels): Compulsory mobility plans in medium and large size companies and administrations. Data: from regional mobility plan programme. Method - assumption of 5% decrease of distances travelled by cars, whose 4% are substituted by public transport and 1% by bicycle and pedestrians. Coverage - regulations applies on the territory of Brussels Capital Region but covers a larger area. Overlap with TR-A02 and TR-A03.",,OK,"Theproposed list  of EU policies does not propose any specific policy aiming at propoting modal shifts from individual cars to car sharing, cycles or public transports . We therefore refered such measures as ""Non CCPM National Policy"""
BE-TRA-002,BE,Belgium,TR-A02,Improve and promote public transport,"Increase modal shift from individual cars towards public transports (trains, buses, tramways and subways) but also towards alternative ""soft"" transport means (bicycles and pedestrians)
","Improve and promote public transport by:
- setting quantified targets with the authorities and including them into their management conventions to increase the use of public transport.
- improving infrastructures and services
- creating new parking places for cars and bicycles close to train stations
- reducing fares for certain categories of travellers
- promoting the combined use of bicycle and public transport and therefore including the promotion of bicycles as an objective of public transport companies
Federal state: Implementation of Regional Express Network (RER) + Improving the quality of rail services :
(Measures of the Federal Plan for Sustainable development nr2 :   32804-1, 32808-2 , 32812-2, 32808-1 , 32813-1 , 32813-2 , 32814-1 and -2, 32806-3) ","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,"National government, Regional entities","FED : Mobility and Transport FPS / Brussels: IBGE, AED, STIB / Flanders : De Lijn, MOW / Wallonia : TEC",with existing measures (WEM),,Statistics on the use of public transports (people and pers.km),2386.265,,2386.265,3439.742,,3439.742,,,1473.252,,,"Mobility statistics from public transport companies and from the federal mobility administration
Federal plan for sustainable development 2 : www.plan2004.be/pdfs/plan_fr.pdf
See also : www.climat.be/IMG/pdf/120317_draft_final_report.pdf ",2009,"Statistics of people using public transport and of persons.km, BAU situation considered before 2004, all increases after 2004 are assumed due to measure. Covers trains, busses, tramways and subways",Choice of transport mode ,,,,,,No,,"NOx, VOC and PM emissions reduced","Methodology (Wallonia): Data - attendance in busses and tramway. Method: compute number of passenger km and compare energy consumption per passenger km by car and by public transport; assume all increase in attendance since 2004 is due to measure. Projections - follows objectives expressed in management contract of public transport company and assume that attendance remains constant after 2012. Coverage - Wallonia. Methodology (Flanders): Data - reference transport scenario (established in 2006) and WEM projections. Method - difference between emissions/WEM projections and reference scenario; this includes not only TR-A02 but all transport measures. Coverage - Flanders. Methodology (Federal State) - attendance in trains. Method - compute number of passenger km; compare energy consumption per passenger km by car and public transport; assume all increase in attendance since 2004 is due to the measure. Projection - follow objectives expressed in management contract of public transport company. Assume that attendance remains constant after 2012. Coverage - Belgium. 

Implementation in the Walloon Region :
through  objectives of increasing attendance  to public busses in the public transports management conventions",,OK,
